date,open,high,low,close,volume,trade_volume
20160419,6221,6505,6154,6496,476192,3023
20160418,6154,6246,6029,6221,240659,1475
20160415,6321,6346,6162,6179,335587,2083
20160414,6530,6597,6271,6313,467772,2980
20160412,6438,6822,6104,6513,1635593,10806
20160411,6555,6563,6379,6488,439647,2855
20160408,6196,6538,6179,6513,612210,3890
20160407,6363,6371,6154,6196,480234,2989
20160406,6505,6505,6237,6363,807772,5131
20160405,6346,6571,6304,6513,899389,5801
20160404,6396,6513,6221,6413,750419,4765
20160401,6296,6413,6204,6346,916934,5788
20160331,5803,6196,5803,6196,1414844,8570
20160330,5653,5803,5553,5787,351222,1996
20160329,5595,5653,5544,5603,342389,1918
20160328,5461,5595,5436,5503,403743,2230
20160325,5402,5486,5344,5461,270629,1468
20160324,5469,5511,5336,5411,404048,2186
20160323,5703,5778,5428,5428,899575,4952
20160322,5878,5895,5553,5703,564551,3214
20160321,5903,5962,5720,5862,243982,1426
20160318,5736,5920,5678,5895,332790,1942
20160317,5845,5878,5678,5728,407281,2347
20160316,6096,6121,5837,5845,410982,2438
20160315,6104,6204,5995,6087,284653,1734
20160314,6096,6121,5912,6029,323377,1941
20160311,6154,6154,5970,6029,229641,1385
20160310,5987,6237,5895,6162,713222,4335
20160309,5820,6029,5753,5895,408012,2409
20160308,5995,6029,5678,5762,395353,2300
20160307,6096,6121,5812,5962,385916,2281
